date,tournament,winner,loser,b365w,b365l,b365w_prob_norm,b365l_prob_norm
2025-11-09,Masters Cup,Alcaraz C.,De Minaur A.,1.17,5.0,0.8103727714748785,0.18962722852512157
2025-11-09,Masters Cup,Zverev A.,Shelton B.,1.53,2.5,0.6203473945409429,0.3796526054590571
2025-11-10,Masters Cup,Fritz T.,Musetti L.,1.4,3.0,0.6818181818181818,0.3181818181818181
2025-11-10,Masters Cup,Sinner J.,Auger-Aliassime F.,1.06,10.0,0.9041591320072333,0.09584086799276674
2025-11-11,Masters Cup,Alcaraz C.,Fritz T.,1.2,4.5,0.7894736842105263,0.21052631578947367
2025-11-11,Masters Cup,Musetti L.,De Minaur A.,3.2,1.36,0.2982456140350877,0.7017543859649122
2025-11-12,Masters Cup,Auger-Aliassime F.,Shelton B.,2.2,1.67,0.43152454780361754,0.5684754521963824
2025-11-12,Masters Cup,Sinner J.,Zverev A.,1.1,7.0,0.8641975308641975,0.13580246913580246
2025-11-13,Masters Cup,De Minaur A.,Fritz T.,3.2,1.36,0.2982456140350877,0.7017543859649122
2025-11-13,Masters Cup,Alcaraz C.,Musetti L.,1.13,6.0,0.8415147265077139,0.15848527349228608
2025-11-14,Masters Cup,Sinner J.,Shelton B.,1.05,10.0,0.9049773755656108,0.09502262443438914
2025-11-14,Masters Cup,Auger-Aliassime F.,Zverev A.,1.2,4.5,0.7894736842105263,0.21052631578947367
2025-11-15,Masters Cup,Sinner J.,De Minaur A.,1.05,10.0,0.9049773755656108,0.09502262443438914
2025-11-15,Masters Cup,Alcaraz C.,Auger-Aliassime F.,1.2,4.5,0.7894736842105263,0.21052631578947367
2025-11-16,Masters Cup,Sinner J.,Alcaraz C.,1.5,2.63,0.6368038740920097,0.36319612590799033
