date,winner_short,loser_short,atp,location,tournament,series,court,surface_x,round_x,best of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,comment,b365w,b365l,exw,exl,lbw,lbl,psw,psl,sjw,sjl,maxw,maxl,avgw,avgl,source_file,source_year,bfew,bfel,b365w_prob,b365l_prob,b365w_prob_norm,b365l_prob_norm,rank_diff,match_date,surface_y,round_y,elo_global_w_before,elo_global_l_before,elo_global_diff,elo_surface_w_before,elo_surface_l_before,elo_surface_diff,h2h_w_before,h2h_l_before,h2h_diff,wins_last5,wins_last10,winpct_last10,date_diff,elo_implied_prob
2010-11-21,federer r,ferrer d,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,ferrer d.,2.0,7.0,7645.0,3735.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.1,7.0,1.12,5.75,1.13,5.5,1.14,7.1,1.13,6.0,1.14,8.2,1.11,6.39,2010.xls,2010,,,0.9090909090909092,0.1428571428571428,0.8641975308641975,0.1358024691358024,5.0,2010-11-21,Hard,RR,1848.063916365341,1624.5708179745886,223.49309839075204,1889.600284156185,1604.67457187079,284.92571228539487,10.0,0.0,10.0,4.0,9.0,0.9,0.0,0.7835592243304278
2010-11-21,murray a,soderling r,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,murray a.,soderling r.,5.0,4.0,5360.0,5380.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.61,2.25,1.68,2.1,1.67,2.1,1.75,2.23,1.8,2.0,1.8,2.29,1.67,2.16,2010.xls,2010,,,0.6211180124223602,0.4444444444444444,0.582901554404145,0.4170984455958549,-1.0,2010-11-21,Hard,RR,1706.1462100458937,1720.418596695264,-14.27238664937022,1745.3193903957244,1723.4809811847783,21.83840921094611,2.0,2.0,0.0,2.0,6.0,0.6,0.0,0.4794719302996773
2010-11-22,djokovic n,berdych t,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,djokovic n.,berdych t.,3.0,6.0,5635.0,3755.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.25,3.75,1.25,3.75,1.25,4.6,1.25,3.75,1.3,4.76,1.24,4.03,2010.xls,2010,,,0.8333333333333334,0.2222222222222222,0.7894736842105263,0.2105263157894736,3.0,2010-11-21,Hard,RR,1765.9458845154356,1507.4473119348982,258.4985725805375,1810.7474363638528,1498.565257000982,312.1821793628708,3.0,1.0,2.0,1.0,6.0,0.6,1.0,0.8157835142291429
2010-11-22,nadal r,roddick a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,nadal r.,roddick a.,1.0,8.0,11450.0,3665.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.0,1.36,3.0,1.34,3.62,1.36,3.0,1.5,3.8,1.34,3.21,2010.xls,2010,,,0.7518796992481203,0.2941176470588235,0.7188160676532769,0.281183932346723,7.0,2010-11-21,Hard,RR,1834.187027936371,1604.7970984360716,229.38992950029933,1806.5602049790775,1667.2390339688636,139.32117101021413,5.0,3.0,2.0,3.0,8.0,0.8,1.0,0.7892606534933613
2010-11-23,federer r,murray a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,murray a.,2.0,5.0,7645.0,5360.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.8,1.95,1.73,2.0,1.82,2.12,1.8,2.0,1.85,2.15,1.77,2.0,2010.xls,2010,,,0.5555555555555556,0.5,0.5263157894736842,0.4736842105263157,3.0,2010-11-21,Hard,RR,1853.1419572704017,1718.546616525516,134.59534074488556,1892.9088507542945,1750.8492204568477,142.0596302974468,5.0,8.0,-3.0,4.0,9.0,0.9,2.0,0.6845568162987483
2010-11-23,soderling r,ferrer d,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,soderling r.,ferrer d.,4.0,7.0,5380.0,3735.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.45,2.6,1.44,2.63,1.51,2.8,1.44,2.75,1.55,2.9,1.47,2.64,2010.xls,2010,,,0.6944444444444444,0.3636363636363636,0.6563245823389022,0.3436754176610979,3.0,2010-11-21,Hard,RR,1702.0412798681582,1639.3542515562872,62.68702831187102,1706.7618737434843,1618.305085058609,88.45678868487539,8.0,4.0,4.0,5.0,8.0,0.8,2.0,0.58924752093306
2010-11-24,berdych t,roddick a,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,berdych t.,roddick a.,6.0,8.0,3755.0,3665.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.5,1.3,3.3,1.3,3.25,1.33,3.7,1.33,3.5,1.29,4.0,1.35,3.46,1.3,2010.xls,2010,,,0.2857142857142857,0.7692307692307692,0.2708333333333333,0.7291666666666667,2.0,2010-11-21,Hard,RR,1486.261611317468,1640.5411366785306,-154.2795253610625,1474.7091848543537,1706.538636330451,-231.82945147609732,2.0,5.0,-3.0,1.0,2.0,0.2,3.0,0.29150118035164096
2010-11-24,nadal r,djokovic n,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,nadal r.,djokovic n.,1.0,3.0,11450.0,5635.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.9,2.0,1.75,1.83,1.83,2.09,1.85,1.9,1.9,2.11,2.0,1.92,1.84,2010.xls,2010,,,0.5263157894736842,0.5263157894736842,0.5,0.5,2.0,2010-11-21,Hard,RR,1822.40108485117,1770.0748661755874,52.3262186755826,1791.3326560697706,1813.4873675290144,-22.1547114592438,13.0,7.0,6.0,3.0,8.0,0.8,3.0,0.5747392446858758
2010-11-25,federer r,soderling r,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,soderling r.,2.0,4.0,7645.0,5380.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.26,3.62,1.22,4.0,1.31,3.88,1.22,4.0,1.31,4.6,1.25,3.9,2010.xls,2010,,,0.8,0.25,0.7619047619047619,0.238095238095238,2.0,2010-11-21,Hard,RR,1839.463411794572,1713.4833179184322,125.98009387613956,1882.576205361374,1717.067319972501,165.50888538887284,13.0,1.0,12.0,4.0,9.0,0.9,4.0,0.6737510005448926
2010-11-25,murray a,ferrer d,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,murray a.,ferrer d.,5.0,7.0,5360.0,3735.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.18,4.5,1.2,4.33,1.23,4.82,1.22,4.0,1.28,5.6,1.18,4.73,2010.xls,2010,,,0.8620689655172414,0.2,0.8116883116883117,0.1883116883116883,2.0,2010-11-21,Hard,RR,1721.096962066258,1653.9540880196516,67.1428740466065,1758.569697465438,1630.282120264471,128.28757720096723,1.0,3.0,-2.0,2.0,6.0,0.6,4.0,0.5954411757704737
