date,tournament,winner,loser,surface,round,elo_global_w_before,elo_global_l_before,elo_surface_w_before,elo_surface_l_before,elo_global_diff,elo_surface_diff,h2h_w_before,h2h_l_before,h2h_diff,wins_last5,wins_last10,winpct_last10,elo_implied_prob
2025-11-09,Masters Cup,Alcaraz C.,De Minaur A.,Hard,Round Robin,1690.5444670733768,1536.4016192705317,1689.1841209371412,1566.8109182220333,154.14284780284515,122.37320271510794,2,0,2,3,7,0.7,0.7083363008570586
2025-11-09,Masters Cup,Zverev A.,Shelton B.,Hard,Round Robin,1650.0664386164267,1476.2822328768825,1689.2836570206275,1541.6465936289055,173.78420573954418,147.637063391722,1,0,1,4,9,0.9,0.7311337374858935
2025-11-10,Masters Cup,Fritz T.,Musetti L.,Hard,Round Robin,1650.8977019157117,1486.4778828674964,1685.1353025017281,1416.0578750964444,164.41981904821523,269.07742740528374,2,3,-1,4,7,0.7,0.720406034193571
2025-11-10,Masters Cup,Sinner J.,Auger-Aliassime F.,Hard,Round Robin,1853.105980161032,1500.0,1926.4322115512343,1500.0,353.105980161032,426.43221155123433,0,0,0,5,10,1.0,0.8841818448666419
2025-11-11,Masters Cup,Alcaraz C.,Fritz T.,Hard,Round Robin,1690.5444670733768,1650.8977019157117,1689.1841209371412,1685.1353025017281,39.646765157665186,4.048818435413068,2,0,2,3,7,0.7,0.5568099085624162
2025-11-11,Masters Cup,Musetti L.,De Minaur A.,Hard,Round Robin,1486.4778828674964,1536.4016192705317,1416.0578750964444,1566.8109182220333,-49.923736403035264,-150.75304312558887,1,1,0,2,5,0.5,0.4286443960946949
2025-11-12,Masters Cup,Auger-Aliassime F.,Shelton B.,Hard,Round Robin,1500.0,1476.2822328768825,1500.0,1541.6465936289055,23.717767123117483,-41.64659362890552,0,0,0,0,0,,0.5340796883637352
2025-11-12,Masters Cup,Sinner J.,Zverev A.,Hard,Round Robin,1853.105980161032,1650.0664386164267,1926.4322115512343,1689.2836570206275,203.0395415446053,237.14855453060682,2,4,-2,5,10,1.0,0.7629261522582537
2025-11-13,Masters Cup,De Minaur A.,Fritz T.,Hard,Round Robin,1536.4016192705317,1650.8977019157117,1566.8109182220333,1685.1353025017281,-114.49608264517997,-118.32438427969487,5,5,0,0,4,0.4,0.34094351339722906
2025-11-13,Masters Cup,Alcaraz C.,Musetti L.,Hard,Round Robin,1690.5444670733768,1486.4778828674964,1689.1841209371412,1416.0578750964444,204.06658420588042,273.1262458406968,3,1,2,3,7,0.7,0.7639938160190944
2025-11-14,Masters Cup,Sinner J.,Shelton B.,Hard,Round Robin,1853.105980161032,1476.2822328768825,1926.4322115512343,1541.6465936289055,376.8237472841495,384.7856179223288,4,1,3,5,10,1.0,0.8974467727057139
2025-11-14,Masters Cup,Auger-Aliassime F.,Zverev A.,Hard,Round Robin,1500.0,1650.0664386164267,1500.0,1689.2836570206275,-150.0664386164267,-189.28365702062752,0,0,0,0,0,,0.2965352101592075
2025-11-15,Masters Cup,Sinner J.,De Minaur A.,Hard,Semifinals,1853.105980161032,1536.4016192705317,1926.4322115512343,1566.8109182220333,316.7043608905003,359.6212933292011,9,0,9,5,10,1.0,0.8609373097894993
2025-11-15,Masters Cup,Alcaraz C.,Auger-Aliassime F.,Hard,Semifinals,1690.5444670733768,1500.0,1689.1841209371412,1500.0,190.54446707337684,189.1841209371412,0,0,0,3,7,0.7,0.7496717004869062
2025-11-16,Masters Cup,Sinner J.,Alcaraz C.,Hard,The Final,1853.105980161032,1690.5444670733768,1926.4322115512343,1689.1841209371412,162.56151308765516,237.24809061409314,4,6,-2,5,10,1.0,0.7182463061584977
